run_started_at,service_name,namespace,revision_name,pod_name,pod_uid,created_at,ready_at,startup_time_ms,status,pod_created_at,pod_first_observed_at,pod_scheduled_at,pod_ready_to_start_containers_at,user_container_started_at,queue_proxy_started_at,containers_ready_at,pod_ready_at,observed_lag_ms,created_to_user_started_ms,created_to_queue_proxy_started_ms,created_to_ready_ms,user_started_to_ready_ms,queue_proxy_started_to_ready_ms
2026-04-07T16:50:57.510Z,go-benchmark-min0,default,go-benchmark-min0-00001,go-benchmark-min0-00001-deployment-594d9788b6-gckkl,36374c46-98f2-4c6f-b0bc-a5fdf85dd819,2026-04-07T16:50:57Z,2026-04-07T16:50:58Z,1000,ready,2026-04-07T16:50:57Z,2026-04-07T16:50:58.026Z,2026-04-07T16:50:57Z,2026-04-07T16:50:58Z,2026-04-07T16:50:58Z,2026-04-07T16:50:58Z,2026-04-07T16:50:58Z,2026-04-07T16:50:58Z,1026,1000,1000,1000,0,0
2026-04-07T18:28:49.568Z,go-benchmark-min0,default,go-benchmark-min0-00001,go-benchmark-min0-00001-deployment-594d9788b6-lqfxt,2e8d6eb1-9bb9-4658-84df-8fc59d0fff2f,2026-04-07T18:28:49Z,2026-04-07T18:28:51Z,2000,ready,2026-04-07T18:28:49Z,2026-04-07T18:28:50.612Z,2026-04-07T18:28:49Z,2026-04-07T18:28:51Z,2026-04-07T18:28:50Z,2026-04-07T18:28:50Z,2026-04-07T18:28:51Z,2026-04-07T18:28:51Z,1612,1000,1000,2000,1000,1000
2026-04-07T18:30:52.664Z,go-benchmark-min0,default,go-benchmark-min0-00001,go-benchmark-min0-00001-deployment-594d9788b6-wkqsc,45ccea70-240d-4764-a10e-a6cf1a8750bf,2026-04-07T18:30:52Z,2026-04-07T18:30:54Z,2000,ready,2026-04-07T18:30:52Z,2026-04-07T18:30:53.021Z,2026-04-07T18:30:52Z,2026-04-07T18:30:54Z,2026-04-07T18:30:53Z,2026-04-07T18:30:53Z,2026-04-07T18:30:54Z,2026-04-07T18:30:54Z,1021,1000,1000,2000,1000,1000
2026-04-07T18:32:27.127Z,go-benchmark-min0,default,go-benchmark-min0-00001,go-benchmark-min0-00001-deployment-594d9788b6-7x6j7,e813efed-b5a9-4509-9a61-54ec1aab1659,2026-04-07T18:32:27Z,2026-04-07T18:32:29Z,2000,ready,2026-04-07T18:32:27Z,2026-04-07T18:32:27.617Z,2026-04-07T18:32:27Z,2026-04-07T18:32:29Z,2026-04-07T18:32:28Z,2026-04-07T18:32:28Z,2026-04-07T18:32:29Z,2026-04-07T18:32:29Z,617,1000,1000,2000,1000,1000
2026-04-07T18:34:45.514Z,go-benchmark-min0,default,go-benchmark-min0-00001,go-benchmark-min0-00001-deployment-594d9788b6-jlwjg,384234c6-b7b8-4c09-aacb-e259dfa37d37,2026-04-07T18:34:45Z,2026-04-07T18:34:46Z,1000,ready,2026-04-07T18:34:45Z,2026-04-07T18:34:46.004Z,2026-04-07T18:34:45Z,2026-04-07T18:34:46Z,2026-04-07T18:34:46Z,2026-04-07T18:34:46Z,2026-04-07T18:34:46Z,2026-04-07T18:34:46Z,1004,1000,1000,1000,0,0
2026-04-07T18:37:22.146Z,go-benchmark-min0,default,go-benchmark-min0-00001,go-benchmark-min0-00001-deployment-594d9788b6-xnpmf,d4123c21-b3b5-49d2-b548-033169885176,2026-04-07T18:37:22Z,2026-04-07T18:37:24Z,2000,ready,2026-04-07T18:37:22Z,2026-04-07T18:37:22.618Z,2026-04-07T18:37:22Z,2026-04-07T18:37:24Z,2026-04-07T18:37:23Z,2026-04-07T18:37:23Z,2026-04-07T18:37:24Z,2026-04-07T18:37:24Z,618,1000,1000,2000,1000,1000
2026-04-07T18:40:45.557Z,go-benchmark-min0,default,go-benchmark-min0-00001,go-benchmark-min0-00001-deployment-594d9788b6-ptbx5,ba86ac2c-d499-4282-a57a-8cc3315cb5ea,2026-04-07T18:40:45Z,2026-04-07T18:40:47Z,2000,ready,2026-04-07T18:40:45Z,2026-04-07T18:40:46.030Z,2026-04-07T18:40:45Z,2026-04-07T18:40:47Z,2026-04-07T18:40:46Z,2026-04-07T18:40:46Z,2026-04-07T18:40:47Z,2026-04-07T18:40:47Z,1030,1000,1000,2000,1000,1000
2026-04-07T18:42:55.194Z,go-benchmark-min0,default,go-benchmark-min0-00001,go-benchmark-min0-00001-deployment-594d9788b6-trq64,44546df1-0d8a-4dbb-a0b1-6b1c56242564,2026-04-07T18:42:55Z,2026-04-07T18:42:56Z,1000,ready,2026-04-07T18:42:55Z,2026-04-07T18:42:55.664Z,2026-04-07T18:42:55Z,2026-04-07T18:42:56Z,2026-04-07T18:42:55Z,2026-04-07T18:42:55Z,2026-04-07T18:42:56Z,2026-04-07T18:42:56Z,664,0,0,1000,1000,1000
2026-04-07T18:45:35.915Z,go-benchmark-min0,default,go-benchmark-min0-00001,go-benchmark-min0-00001-deployment-594d9788b6-jhl65,46d849b1-afbf-4835-86b5-1d4a57d63561,2026-04-07T18:45:36Z,2026-04-07T18:45:37Z,1000,ready,2026-04-07T18:45:36Z,2026-04-07T18:45:36.413Z,2026-04-07T18:45:36Z,2026-04-07T18:45:37Z,2026-04-07T18:45:36Z,2026-04-07T18:45:37Z,2026-04-07T18:45:37Z,2026-04-07T18:45:37Z,413,0,1000,1000,1000,0
2026-04-07T18:47:38.035Z,go-benchmark-min0,default,go-benchmark-min0-00001,go-benchmark-min0-00001-deployment-594d9788b6-cg9df,1edfd8ab-0432-48ba-9cef-f81bdbc1b483,2026-04-07T18:47:38Z,2026-04-07T18:47:40Z,2000,ready,2026-04-07T18:47:38Z,2026-04-07T18:47:38.522Z,2026-04-07T18:47:38Z,2026-04-07T18:47:40Z,2026-04-07T18:47:39Z,2026-04-07T18:47:39Z,2026-04-07T18:47:40Z,2026-04-07T18:47:40Z,522,1000,1000,2000,1000,1000
