run_started_at,service_name,namespace,revision_name,pod_name,pod_uid,created_at,ready_at,startup_time_ms,status,pod_created_at,pod_first_observed_at,pod_scheduled_at,pod_ready_to_start_containers_at,user_container_started_at,queue_proxy_started_at,containers_ready_at,pod_ready_at,observed_lag_ms,created_to_user_started_ms,created_to_queue_proxy_started_ms,created_to_ready_ms,user_started_to_ready_ms,queue_proxy_started_to_ready_ms
2026-04-07T19:22:42.869Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-2tqvb,7be7a880-761f-43c8-9f1e-f832d8e60962,2026-04-07T19:22:43Z,2026-04-07T19:22:44Z,1000,ready,2026-04-07T19:22:43Z,2026-04-07T19:22:43.345Z,2026-04-07T19:22:43Z,2026-04-07T19:22:44Z,2026-04-07T19:22:44Z,2026-04-07T19:22:44Z,2026-04-07T19:22:44Z,2026-04-07T19:22:44Z,345,1000,1000,1000,0,0
2026-04-07T19:24:21.782Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-xmdjq,28828110-830c-4f36-bacc-7a675d878124,2026-04-07T19:24:22Z,2026-04-07T19:24:23Z,1000,ready,2026-04-07T19:24:22Z,2026-04-07T19:24:22.276Z,2026-04-07T19:24:22Z,2026-04-07T19:24:23Z,2026-04-07T19:24:23Z,2026-04-07T19:24:23Z,2026-04-07T19:24:23Z,2026-04-07T19:24:23Z,276,1000,1000,1000,0,0
2026-04-07T19:25:55.684Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-cp8bk,9edf7567-aac3-4067-bb41-393d26afc9b4,2026-04-07T19:25:55Z,2026-04-07T19:25:57Z,2000,ready,2026-04-07T19:25:55Z,2026-04-07T19:25:56.134Z,2026-04-07T19:25:55Z,2026-04-07T19:25:57Z,2026-04-07T19:25:56Z,2026-04-07T19:25:56Z,2026-04-07T19:25:57Z,2026-04-07T19:25:57Z,1134,1000,1000,2000,1000,1000
2026-04-07T19:27:04.984Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-7262g,c8a44482-b5a1-42ae-a9e6-3558aaffadbe,2026-04-07T19:27:05Z,2026-04-07T19:27:07Z,2000,ready,2026-04-07T19:27:05Z,2026-04-07T19:27:05.458Z,2026-04-07T19:27:05Z,2026-04-07T19:27:07Z,2026-04-07T19:27:06Z,2026-04-07T19:27:06Z,2026-04-07T19:27:07Z,2026-04-07T19:27:07Z,458,1000,1000,2000,1000,1000
2026-04-07T19:28:13.376Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-hfq7c,79a39e6e-7e7b-4b10-a132-4464c37569e5,2026-04-07T19:28:14Z,2026-04-07T19:28:15Z,1000,ready,2026-04-07T19:28:14Z,2026-04-07T19:28:13.907Z,2026-04-07T19:28:14Z,2026-04-07T19:28:15Z,2026-04-07T19:28:14Z,2026-04-07T19:28:14Z,2026-04-07T19:28:15Z,2026-04-07T19:28:15Z,0,0,0,1000,1000,1000
2026-04-07T19:30:02.642Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-tvcgn,d20bba14-914c-4176-9cd3-54f0717963e8,2026-04-07T19:30:03Z,2026-04-07T19:30:04Z,1000,ready,2026-04-07T19:30:03Z,2026-04-07T19:30:03.193Z,2026-04-07T19:30:03Z,2026-04-07T19:30:04Z,2026-04-07T19:30:03Z,2026-04-07T19:30:04Z,2026-04-07T19:30:04Z,2026-04-07T19:30:04Z,193,0,1000,1000,1000,0
2026-04-07T19:31:09.900Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-w7rh6,813967f6-fb68-4bbd-be61-34cde29dd2c0,2026-04-07T19:31:10Z,2026-04-07T19:31:12Z,2000,ready,2026-04-07T19:31:10Z,2026-04-07T19:31:10.403Z,2026-04-07T19:31:10Z,2026-04-07T19:31:12Z,2026-04-07T19:31:11Z,2026-04-07T19:31:11Z,2026-04-07T19:31:12Z,2026-04-07T19:31:12Z,403,1000,1000,2000,1000,1000
2026-04-07T19:32:27.665Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-6gn46,8ad1e432-9326-4347-9b9f-9df623d80837,2026-04-07T19:32:28Z,2026-04-07T19:32:29Z,1000,ready,2026-04-07T19:32:28Z,2026-04-07T19:32:28.230Z,2026-04-07T19:32:28Z,2026-04-07T19:32:29Z,2026-04-07T19:32:28Z,2026-04-07T19:32:29Z,2026-04-07T19:32:29Z,2026-04-07T19:32:29Z,230,0,1000,1000,1000,0
2026-04-07T19:34:34.049Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-4qmqg,a5a52a95-af8a-4617-8f53-c5d7d5f84256,2026-04-07T19:34:34Z,2026-04-07T19:34:36Z,2000,ready,2026-04-07T19:34:34Z,2026-04-07T19:34:34.479Z,2026-04-07T19:34:34Z,2026-04-07T19:34:36Z,2026-04-07T19:34:35Z,2026-04-07T19:34:35Z,2026-04-07T19:34:36Z,2026-04-07T19:34:36Z,479,1000,1000,2000,1000,1000
2026-04-07T19:35:41.276Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-d4ndx,3fdc53ea-37c5-4f25-b72a-1ecc190c3fcf,2026-04-07T19:35:41Z,2026-04-07T19:35:42Z,1000,ready,2026-04-07T19:35:41Z,2026-04-07T19:35:41.811Z,2026-04-07T19:35:41Z,2026-04-07T19:35:42Z,2026-04-07T19:35:42Z,2026-04-07T19:35:42Z,2026-04-07T19:35:42Z,2026-04-07T19:35:42Z,811,1000,1000,1000,0,0
