run_started_at,service_name,namespace,revision_name,pod_name,pod_uid,created_at,ready_at,startup_time_ms,status,pod_created_at,pod_first_observed_at,pod_scheduled_at,pod_ready_to_start_containers_at,user_container_started_at,queue_proxy_started_at,containers_ready_at,pod_ready_at,observed_lag_ms,created_to_user_started_ms,created_to_queue_proxy_started_ms,created_to_ready_ms,user_started_to_ready_ms,queue_proxy_started_to_ready_ms
2026-04-07T20:17:04.529Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-vrxx9,4904f288-09c8-41ec-a0fe-82d2c07d35d6,2026-04-07T20:17:04Z,2026-04-07T20:17:06Z,2000,ready,2026-04-07T20:17:04Z,2026-04-07T20:17:05.020Z,2026-04-07T20:17:04Z,2026-04-07T20:17:05Z,2026-04-07T20:17:05Z,2026-04-07T20:17:05Z,2026-04-07T20:17:06Z,2026-04-07T20:17:06Z,1020,1000,1000,2000,1000,1000
2026-04-07T20:17:04.529Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-k8q45,b8d36ea5-6442-4d7f-adbd-0395de60b290,2026-04-07T20:18:16Z,2026-04-07T20:18:18Z,2000,ready,2026-04-07T20:18:16Z,2026-04-07T20:18:16.775Z,2026-04-07T20:18:16Z,2026-04-07T20:18:18Z,2026-04-07T20:18:17Z,2026-04-07T20:18:17Z,2026-04-07T20:18:18Z,2026-04-07T20:18:18Z,775,1000,1000,2000,1000,1000
2026-04-07T20:17:04.529Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-9rcj2,8711d1ea-ef4f-4167-ac19-b8fcd071d727,2026-04-07T20:19:28Z,2026-04-07T20:19:29Z,1000,ready,2026-04-07T20:19:28Z,2026-04-07T20:19:28.456Z,2026-04-07T20:19:28Z,2026-04-07T20:19:29Z,2026-04-07T20:19:28Z,2026-04-07T20:19:29Z,2026-04-07T20:19:29Z,2026-04-07T20:19:29Z,456,0,1000,1000,1000,0
2026-04-07T20:17:04.529Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-wgf9j,025fced3-4d02-4b73-8db4-c77ba6630681,2026-04-07T20:20:39Z,2026-04-07T20:20:40Z,1000,ready,2026-04-07T20:20:39Z,2026-04-07T20:20:40.255Z,2026-04-07T20:20:39Z,2026-04-07T20:20:40Z,2026-04-07T20:20:40Z,2026-04-07T20:20:40Z,2026-04-07T20:20:40Z,2026-04-07T20:20:40Z,1255,1000,1000,1000,0,0
2026-04-07T20:17:04.529Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-6k427,24786e12-fb0a-4c5e-a5e9-82bc8c06e2d6,2026-04-07T20:21:50Z,2026-04-07T20:21:52Z,2000,ready,2026-04-07T20:21:50Z,2026-04-07T20:21:51.372Z,2026-04-07T20:21:50Z,2026-04-07T20:21:52Z,2026-04-07T20:21:51Z,2026-04-07T20:21:51Z,2026-04-07T20:21:52Z,2026-04-07T20:21:52Z,1372,1000,1000,2000,1000,1000
2026-04-07T20:17:04.529Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-8qbz9,1e8ae3b7-805c-40df-a481-1f67c4009896,2026-04-07T20:23:03Z,2026-04-07T20:23:04Z,1000,ready,2026-04-07T20:23:03Z,2026-04-07T20:23:03.637Z,2026-04-07T20:23:03Z,2026-04-07T20:23:04Z,2026-04-07T20:23:03Z,2026-04-07T20:23:04Z,2026-04-07T20:23:04Z,2026-04-07T20:23:04Z,637,0,1000,1000,1000,0
2026-04-07T20:17:04.529Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-928w8,69c0ff99-1f43-4fe9-a2a1-3632993fb4a8,2026-04-07T20:24:13Z,2026-04-07T20:24:14Z,1000,ready,2026-04-07T20:24:13Z,2026-04-07T20:24:14.875Z,2026-04-07T20:24:13Z,2026-04-07T20:24:14Z,2026-04-07T20:24:14Z,2026-04-07T20:24:14Z,2026-04-07T20:24:14Z,2026-04-07T20:24:14Z,1875,1000,1000,1000,0,0
2026-04-07T20:17:04.529Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-cd7bg,61f74713-7bbb-4053-ab5a-59409c83a0ad,2026-04-07T20:25:25Z,2026-04-07T20:25:27Z,2000,ready,2026-04-07T20:25:25Z,2026-04-07T20:25:25.841Z,2026-04-07T20:25:25Z,2026-04-07T20:25:27Z,2026-04-07T20:25:26Z,2026-04-07T20:25:26Z,2026-04-07T20:25:27Z,2026-04-07T20:25:27Z,841,1000,1000,2000,1000,1000
2026-04-07T20:17:04.529Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-css8s,7e6e023b-4fbf-4294-870d-a16751a85a16,2026-04-07T20:26:37Z,2026-04-07T20:26:38Z,1000,ready,2026-04-07T20:26:37Z,2026-04-07T20:26:37.715Z,2026-04-07T20:26:37Z,2026-04-07T20:26:38Z,2026-04-07T20:26:37Z,2026-04-07T20:26:38Z,2026-04-07T20:26:38Z,2026-04-07T20:26:38Z,715,0,1000,1000,1000,0
2026-04-07T20:17:04.529Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-vc7hm,15e11fe6-4f4a-459e-8acf-daebf6d7a216,2026-04-07T20:27:48Z,2026-04-07T20:27:49Z,1000,ready,2026-04-07T20:27:48Z,2026-04-07T20:27:49.445Z,2026-04-07T20:27:48Z,2026-04-07T20:27:49Z,2026-04-07T20:27:49Z,2026-04-07T20:27:49Z,2026-04-07T20:27:49Z,2026-04-07T20:27:49Z,1445,1000,1000,1000,0,0
2026-04-07T20:32:21.539Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-krwwz,12db0aef-c1f6-4532-b15a-e904a2b856f4,2026-04-07T20:32:22Z,2026-04-07T20:32:23Z,1000,ready,2026-04-07T20:32:22Z,2026-04-07T20:32:22.066Z,2026-04-07T20:32:22Z,2026-04-07T20:32:23Z,2026-04-07T20:32:22Z,2026-04-07T20:32:23Z,2026-04-07T20:32:23Z,2026-04-07T20:32:23Z,66,0,1000,1000,1000,0
2026-04-07T20:32:21.539Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-9rbbl,5e5844c6-297e-42e6-a480-3793b15b72a3,2026-04-07T20:33:32Z,2026-04-07T20:33:33Z,1000,ready,2026-04-07T20:33:32Z,2026-04-07T20:33:33.358Z,2026-04-07T20:33:32Z,2026-04-07T20:33:33Z,2026-04-07T20:33:33Z,2026-04-07T20:33:33Z,2026-04-07T20:33:33Z,2026-04-07T20:33:33Z,1358,1000,1000,1000,0,0
2026-04-07T20:32:21.539Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-jwffq,ea28c4e5-2d41-4bdd-9cae-854135585482,2026-04-07T20:34:44Z,2026-04-07T20:34:45Z,1000,ready,2026-04-07T20:34:44Z,2026-04-07T20:34:44.795Z,2026-04-07T20:34:44Z,2026-04-07T20:34:45Z,2026-04-07T20:34:45Z,2026-04-07T20:34:45Z,2026-04-07T20:34:45Z,2026-04-07T20:34:45Z,795,1000,1000,1000,0,0
2026-04-07T20:32:21.539Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-9r5vx,0b9ca409-bcd9-4f52-97e9-2a470b9428da,2026-04-07T20:35:54Z,2026-04-07T20:35:57Z,3000,ready,2026-04-07T20:35:54Z,2026-04-07T20:35:55.750Z,2026-04-07T20:35:54Z,2026-04-07T20:35:57Z,2026-04-07T20:35:55Z,2026-04-07T20:35:56Z,2026-04-07T20:35:57Z,2026-04-07T20:35:57Z,1750,1000,2000,3000,2000,1000
2026-04-07T20:32:21.539Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-bqcrg,947e28b5-fb86-4291-86e1-38c5ab15403f,2026-04-07T20:37:07Z,2026-04-07T20:37:08Z,1000,ready,2026-04-07T20:37:07Z,2026-04-07T20:37:07.867Z,2026-04-07T20:37:07Z,2026-04-07T20:37:08Z,2026-04-07T20:37:08Z,2026-04-07T20:37:08Z,2026-04-07T20:37:08Z,2026-04-07T20:37:08Z,867,1000,1000,1000,0,0
2026-04-07T20:32:21.539Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-zfhbt,c5e862f9-cec1-4baa-8a78-89403ab4890d,2026-04-07T20:38:18Z,2026-04-07T20:38:19Z,1000,ready,2026-04-07T20:38:18Z,2026-04-07T20:38:19.334Z,2026-04-07T20:38:18Z,2026-04-07T20:38:19Z,2026-04-07T20:38:18Z,2026-04-07T20:38:19Z,2026-04-07T20:38:19Z,2026-04-07T20:38:19Z,1334,0,1000,1000,1000,0
2026-04-07T20:32:21.539Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-n52w4,67dfff82-2972-471d-bf7d-183d089231dc,2026-04-07T20:39:29Z,2026-04-07T20:39:30Z,1000,ready,2026-04-07T20:39:29Z,2026-04-07T20:39:30.380Z,2026-04-07T20:39:29Z,2026-04-07T20:39:30Z,2026-04-07T20:39:30Z,2026-04-07T20:39:30Z,2026-04-07T20:39:30Z,2026-04-07T20:39:30Z,1380,1000,1000,1000,0,0
2026-04-07T20:32:21.539Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-zknn2,c923086f-3020-47cb-a2fc-f9cefe75c7c1,2026-04-07T20:40:40Z,2026-04-07T20:40:42Z,2000,ready,2026-04-07T20:40:40Z,2026-04-07T20:40:41.264Z,2026-04-07T20:40:40Z,2026-04-07T20:40:42Z,2026-04-07T20:40:41Z,2026-04-07T20:40:41Z,2026-04-07T20:40:42Z,2026-04-07T20:40:42Z,1264,1000,1000,2000,1000,1000
2026-04-07T20:32:21.539Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-jrr9f,b27575ce-f8d7-4282-9a3a-ad7d2be73231,2026-04-07T20:41:52Z,2026-04-07T20:41:54Z,2000,ready,2026-04-07T20:41:52Z,2026-04-07T20:41:53.754Z,2026-04-07T20:41:52Z,2026-04-07T20:41:54Z,2026-04-07T20:41:53Z,2026-04-07T20:41:53Z,2026-04-07T20:41:54Z,2026-04-07T20:41:54Z,1754,1000,1000,2000,1000,1000
2026-04-07T20:32:21.539Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-7qzb8,edee9914-8571-4e0c-afa7-5b9960791393,2026-04-07T20:43:04Z,2026-04-07T20:43:05Z,1000,ready,2026-04-07T20:43:04Z,2026-04-07T20:43:04.368Z,2026-04-07T20:43:04Z,2026-04-07T20:43:05Z,2026-04-07T20:43:05Z,2026-04-07T20:43:05Z,2026-04-07T20:43:05Z,2026-04-07T20:43:05Z,368,1000,1000,1000,0,0
