run_started_at,service_name,namespace,revision_name,pod_name,pod_uid,created_at,ready_at,startup_time_ms,status,pod_created_at,pod_first_observed_at,pod_scheduled_at,pod_ready_to_start_containers_at,user_container_started_at,queue_proxy_started_at,containers_ready_at,pod_ready_at,observed_lag_ms,created_to_user_started_ms,created_to_queue_proxy_started_ms,created_to_ready_ms,user_started_to_ready_ms,queue_proxy_started_to_ready_ms
2026-04-07T16:56:52.831Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-gbdx2,ac285c51-7998-4783-a5f5-e1785d28d4be,2026-04-07T16:56:53Z,2026-04-07T16:56:54Z,1000,ready,2026-04-07T16:56:53Z,2026-04-07T16:56:53.257Z,2026-04-07T16:56:53Z,2026-04-07T16:56:54Z,2026-04-07T16:56:53Z,2026-04-07T16:56:53Z,2026-04-07T16:56:54Z,2026-04-07T16:56:54Z,257,0,0,1000,1000,1000
2026-04-07T18:50:14.395Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-jvdz5,fd8a011b-8d6e-466d-8088-09bf8ff1f04a,2026-04-07T18:50:14Z,2026-04-07T18:50:15Z,1000,ready,2026-04-07T18:50:14Z,2026-04-07T18:50:14.865Z,2026-04-07T18:50:14Z,2026-04-07T18:50:15Z,2026-04-07T18:50:14Z,2026-04-07T18:50:15Z,2026-04-07T18:50:15Z,2026-04-07T18:50:15Z,865,0,1000,1000,1000,0
2026-04-07T18:52:13.483Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-9bz5r,fb78db6c-2940-41ae-a002-d3239e801636,2026-04-07T18:52:13Z,2026-04-07T18:52:14Z,1000,ready,2026-04-07T18:52:13Z,2026-04-07T18:52:13.921Z,2026-04-07T18:52:13Z,2026-04-07T18:52:14Z,2026-04-07T18:52:14Z,2026-04-07T18:52:14Z,2026-04-07T18:52:14Z,2026-04-07T18:52:14Z,921,1000,1000,1000,0,0
2026-04-07T18:55:33.415Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-g2xgw,56374bf7-9714-442a-9a9f-aed32cc591ab,2026-04-07T18:55:34Z,2026-04-07T18:55:35Z,1000,ready,2026-04-07T18:55:34Z,2026-04-07T18:55:33.877Z,2026-04-07T18:55:34Z,2026-04-07T18:55:35Z,2026-04-07T18:55:34Z,2026-04-07T18:55:34Z,2026-04-07T18:55:35Z,2026-04-07T18:55:35Z,0,0,0,1000,1000,1000
2026-04-07T18:58:51.616Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-whkjt,6e1aca07-50fb-403a-89a1-ff9ea0abd506,2026-04-07T18:58:52Z,2026-04-07T18:58:53Z,1000,ready,2026-04-07T18:58:52Z,2026-04-07T18:58:52.115Z,2026-04-07T18:58:52Z,2026-04-07T18:58:53Z,2026-04-07T18:58:52Z,2026-04-07T18:58:52Z,2026-04-07T18:58:53Z,2026-04-07T18:58:53Z,115,0,0,1000,1000,1000
2026-04-07T19:01:08.661Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-xspwl,28abe8ef-3efc-465d-8d1e-631b683748aa,2026-04-07T19:01:08Z,2026-04-07T19:01:10Z,2000,ready,2026-04-07T19:01:08Z,2026-04-07T19:01:09.158Z,2026-04-07T19:01:08Z,2026-04-07T19:01:10Z,2026-04-07T19:01:09Z,2026-04-07T19:01:09Z,2026-04-07T19:01:10Z,2026-04-07T19:01:10Z,1158,1000,1000,2000,1000,1000
2026-04-07T19:03:35.567Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-rkpk6,436d9d15-9dd2-47e3-b315-9335efa0d8ea,2026-04-07T19:03:35Z,2026-04-07T19:03:37Z,2000,ready,2026-04-07T19:03:35Z,2026-04-07T19:03:36.058Z,2026-04-07T19:03:35Z,2026-04-07T19:03:37Z,2026-04-07T19:03:36Z,2026-04-07T19:03:36Z,2026-04-07T19:03:37Z,2026-04-07T19:03:37Z,1058,1000,1000,2000,1000,1000
2026-04-07T19:05:20.673Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-db92x,9f0359c8-839a-4e55-a823-1d57fcbde9a2,2026-04-07T19:05:21Z,2026-04-07T19:05:22Z,1000,ready,2026-04-07T19:05:21Z,2026-04-07T19:05:21.163Z,2026-04-07T19:05:21Z,2026-04-07T19:05:22Z,2026-04-07T19:05:22Z,2026-04-07T19:05:22Z,2026-04-07T19:05:22Z,2026-04-07T19:05:22Z,163,1000,1000,1000,0,0
2026-04-07T19:07:48.678Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-4crvj,f3750aef-d384-4971-a70a-493724040ef0,2026-04-07T19:07:48Z,2026-04-07T19:07:50Z,2000,ready,2026-04-07T19:07:48Z,2026-04-07T19:07:49.183Z,2026-04-07T19:07:48Z,2026-04-07T19:07:50Z,2026-04-07T19:07:49Z,2026-04-07T19:07:49Z,2026-04-07T19:07:50Z,2026-04-07T19:07:50Z,1183,1000,1000,2000,1000,1000
2026-04-07T19:09:25.010Z,node-benchmark-min0,default,node-benchmark-min0-00001,node-benchmark-min0-00001-deployment-7d6884684c-xwrmx,6483aec1-dbfe-4cc1-ad63-7757b95026be,2026-04-07T19:09:25Z,2026-04-07T19:09:26Z,1000,ready,2026-04-07T19:09:25Z,2026-04-07T19:09:25.397Z,2026-04-07T19:09:25Z,2026-04-07T19:09:26Z,2026-04-07T19:09:25Z,2026-04-07T19:09:25Z,2026-04-07T19:09:26Z,2026-04-07T19:09:26Z,397,0,0,1000,1000,1000
